Graph,Model,Time I,Time II',Time II,Time Delta,Memory I,Memory II',Memory II,Memory Delta,AUC-ROC I,AUC-ROC II',AUC-ROC II,AUC-ROC Delta,Hits@50 I,Hits@50 II',Hits@50 II,Hits@50 Delta,MRR I,MRR II',MRR II,MRR Delta
CiteSeer,n2v,0.61 ,0.05 ,0.53 ,-13.11\%,3.12 ,2.09 ,2.09 ,-33.01\%,0.76 ,0.78 ,0.77 ,0.02,0.02 ,0.03 ,0.01 ,0.01,0.15 ,0.09 ,0.09 ,-0.06
Cora,n2v,0.54 ,0.04 ,0.45 ,-16.67\%,3.12 ,2.08 ,2.08 ,-33.33\%,0.88 ,0.66 ,0.79 ,-0.09,0.04 ,0.02 ,0.00 ,-0.02,0.14 ,0.04 ,0.07 ,-0.07
PubMed,n2v,3.04 ,0.24 ,2.44 ,-19.74\%,3.16 ,2.12 ,2.12 ,-32.91\%,0.91 ,0.76 ,0.82 ,-0.09,0.10 ,0.00 ,0.00 ,-0.10,0.24 ,0.08 ,0.13 ,-0.11
ogbl-collab,n2v,5.30 ,1.94 ,4.78 ,-9.81\%,13.25 ,9.00 ,9.00 ,-32.08\%,0.94 ,0.93 ,0.96 ,0.02,0.25 ,0.14 ,0.20 ,-0.05,0.38 ,0.27 ,0.39 ,0.01
ogbl-ppa,n2v,31.77 ,12.34 ,32.95 ,3.71\%,27.24 ,18.74 ,18.74 ,-31.20\%,1.00 ,0.81 ,0.97 ,-0.03,0.10 ,0.01 ,0.00 ,-0.09,nan ,nan ,nan ,nan
ogbl-citation2,n2v,38.68 ,22.56 ,39.02 ,0.88\%,31.98 ,23.49 ,23.49 ,-26.55\%,0.98 ,0.81 ,0.96 ,-0.02,0.14 ,0.02 ,0.07 ,-0.07,0.33 ,0.07 ,0.18 ,-0.15
ogbl-vessel,n2v,47.83 ,26.64 ,47.12 ,-1.48\%,32.84 ,24.35 ,24.35 ,-25.85\%,0.96 ,0.83 ,0.90 ,-0.06,0.00 ,0.00 ,0.00 ,,0.82 ,0.10 ,0.28 ,-0.54
CiteSeer,line,0.05 ,0.00 ,0.04 ,-20.00\%,0.02 ,0.02 ,0.02 ,0.00\%,0.62 ,0.66 ,0.68 ,0.06,0.01 ,0.01 ,0.01 ,0.00,0.03 ,0.04 ,0.04 ,0.01
Cora,line,0.05 ,0.00 ,0.04 ,-20.00\%,0.02 ,0.02 ,0.02 ,0.00\%,0.58 ,0.67 ,0.67 ,0.09,0.01 ,0.00 ,0.01 ,0.00,0.03 ,0.04 ,0.04 ,0.01
PubMed,line,0.48 ,0.04 ,0.40 ,-16.67\%,0.06 ,0.06 ,0.06 ,0.00\%,0.69 ,0.71 ,0.75 ,0.06,0.02 ,0.03 ,0.03 ,0.01,0.05 ,0.07 ,0.07 ,0.02
ogbl-collab,line,0.74 ,0.24 ,1.03 ,39.19\%,0.64 ,0.64 ,0.64 ,0.00\%,0.72 ,0.78 ,0.80 ,0.08,0.08 ,0.14 ,0.19 ,0.11,0.12 ,0.20 ,0.23 ,0.11
ogbl-ppa,line,16.26 ,5.13 ,15.44 ,-5.04\%,2.07 ,2.07 ,2.07 ,0.00\%,0.90 ,0.91 ,0.78 ,0.01,0.01 ,0.02 ,0.06 ,0.05,nan ,nan ,nan ,nan
ogbl-citation2,line,48.56 ,25.23 ,47.60 ,-1.98\%,8.02 ,8.02 ,8.02 ,0.00\%,0.61 ,0.65 ,0.62 ,0.04,0.01 ,0.01 ,0.04 ,0.03,0.03 ,0.03 ,0.08 ,0.05
ogbl-vessel,line,9.29 ,4.77 ,9.01 ,-3.01\%,9.19 ,9.19 ,9.19 ,0.00\%,0.50 ,0.51 ,0.50 ,0.01,0.00 ,0.00 ,0.00 ,,0.01 ,0.01 ,0.01 ,0.00
