Graph,Model,Time I,Time II',Time II,Time Delta,Memory I,Memory II',Memory II,Memory Delta,AUC-ROC I,AUC-ROC II',AUC-ROC II,AUC-ROC Delta,MRR I,MRR II',MRR II,MRR Delta,Hits@50 I,Hits@50 II',Hits@50 II,Hits@50 Delta
CiteSeer,n2v,0.66 ,0.08 ,0.59 ,(-10.61),3.12 ,2.09 ,2.09 ,(-33.01),0.73 ,0.79 ,0.79 ,(0.06),0.15 ,0.09 ,0.10 ,(-33.33),0.03 ,0.03 ,0.03 ,(0.00)
Cora,n2v,0.57 ,0.07 ,0.51 ,(-10.53),3.12 ,2.08 ,2.08 ,(-33.33),0.86 ,0.83 ,0.81 ,(-0.03),0.14 ,0.08 ,0.11 ,(-21.43),0.02 ,0.02 ,0.03 ,(50.00)
PubMed,n2v,3.30 ,0.49 ,2.72 ,(-17.58),3.16 ,2.12 ,2.12 ,(-32.91),0.84 ,0.77 ,0.75 ,(-0.07),0.19 ,0.12 ,0.09 ,(-52.63),0.06 ,0.02 ,0.01 ,(-83.33)
ogbl-collab,n2v,5.01 ,2.34 ,4.55 ,(-9.18),13.26 ,9.01 ,9.01 ,(-32.05),0.94 ,0.93 ,0.96 ,(0.02),0.37 ,0.26 ,0.37 ,(0.00),0.23 ,0.12 ,0.18 ,(-21.74)
ogbl-ppa,n2v,35.00 ,26.47 ,34.00 ,(-2.86),14.52 ,10.26 ,10.26 ,(-29.34),1.00 ,0.76 ,0.99 ,(-0.01),nan ,nan ,nan ,(nan),0.07 ,0.01 ,0.00 ,(-100.00)
ogbl-citation2,n2v,52.07 ,32.01 ,44.05 ,(-15.40),19.26 ,15.01 ,15.01 ,(-22.07),0.98 ,0.83 ,0.96 ,(-0.02),0.32 ,0.07 ,0.19 ,(-40.62),0.14 ,0.02 ,0.07 ,(-50.00)
CiteSeer,line,0.08 ,0.03 ,0.07 ,(-12.50),0.30 ,0.30 ,0.30 ,(0.00),0.60 ,0.64 ,0.65 ,(0.05),0.03 ,0.04 ,0.03 ,(0.00),0.02 ,0.02 ,0.01 ,(-50.00)
Cora,line,0.09 ,0.04 ,0.08 ,(-11.11),0.30 ,0.30 ,0.30 ,(0.00),0.59 ,0.67 ,0.68 ,(0.09),0.03 ,0.04 ,0.04 ,(33.33),0.01 ,0.01 ,0.01 ,(0.00)
PubMed,line,0.75 ,0.29 ,0.67 ,(-10.67),0.40 ,0.40 ,0.40 ,(0.00),0.69 ,0.72 ,0.73 ,(0.04),0.05 ,0.07 ,0.08 ,(60.00),0.03 ,0.04 ,0.05 ,(66.67)
ogbl-collab,line,1.52 ,1.01 ,1.41 ,(-7.24),1.03 ,1.03 ,1.03 ,(0.00),0.71 ,0.78 ,0.76 ,(0.07),0.13 ,0.20 ,0.18 ,(38.46),0.09 ,0.14 ,0.13 ,(44.44)
ogbl-ppa,line,53.74 ,32.54 ,49.40 ,(-8.08),8.00 ,8.00 ,8.00 ,(0.00),0.91 ,0.93 ,0.89 ,(0.02),nan ,nan ,nan ,(nan),0.01 ,0.02 ,0.03 ,(200.00)
